"날짜	이름	사번	카드번호	출입문	띠용	며용	댸용"
"2017-06-29 13:00	굳건이	181818	2C8AO86	남대문	1299asdfa	fewfwf	fsdjdjdn"
"2017-06-29 18:00	굳건이	181818	2C8AO87	남대문	1300asdfa	fewfwf	fsdjdjdn"
"2017-06-29 23:00	굳건이	181818	2C8AO88	남대문	1301asdfa	fewfwf	fsdjdjdn"
"2017-06-30 4:00	굳건이	181818	2C8AO89	남대문	1302asdfa	fewfwf	fsdjdjdn"
"2017-06-30 9:00	굳건이	181818	2C8AO90	남대문	1303asdfa	fewfwf	fsdjdjdn"
"2017-06-30 14:00	굳건이	181818	2C8AO91	남대문	1304asdfa	fewfwf	fsdjdjdn"
"2017-06-30 19:00	굳건이	181818	2C8AO92	남대문	1305asdfa	fewfwf	fsdjdjdn"
"2017-07-01 0:00	굳건이	181818	2C8AO93	남대문	1306asdfa	fewfwf	fsdjdjdn"
"2017-07-01 5:00	굳건이	181818	2C8AO94	남대문	1307asdfa	fewfwf	fsdjdjdn"
"2017-07-01 10:00	굳건이	181818	2C8AO95	남대문	1308asdfa	fewfwf	fsdjdjdn"
"2017-07-01 15:00	굳건이	181818	2C8AO96	남대문	1309asdfa	fewfwf	fsdjdjdn"
"2017-07-01 20:00	굳건이	181818	2C8AO97	남대문	1310asdfa	fewfwf	fsdjdjdn"
"2017-07-02 1:00	굳건이	181818	2C8AO98	남대문	1311asdfa	fewfwf	fsdjdjdn"
"2017-07-02 6:00	굳건이	181818	2C8AO99	남대문	1312asdfa	fewfwf	fsdjdjdn"
"2017-07-02 11:00	굳건이	181818	2C8AO100	남대문	1313asdfa	fewfwf	fsdjdjdn"
"2017-07-02 16:00	굳건이	181818	2C8AO101	남대문	1314asdfa	fewfwf	fsdjdjdn"
"2017-07-02 21:00	굳건이	181818	2C8AO102	남대문	1315asdfa	fewfwf	fsdjdjdn"
"2017-07-03 2:00	굳건이	181818	2C8AO103	남대문	1316asdfa	fewfwf	fsdjdjdn"
"2017-07-03 7:00	굳건이	181818	2C8AO104	남대문	1317asdfa	fewfwf	fsdjdjdn"
"2017-07-03 12:00	굳건이	181818	2C8AO105	남대문	1318asdfa	fewfwf	fsdjdjdn"
"2017-07-03 17:00	굳건이	181818	2C8AO106	남대문	1319asdfa	fewfwf	fsdjdjdn"
"2017-07-03 22:00	굳건이	181818	2C8AO107	남대문	1320asdfa	fewfwf	fsdjdjdn"
"2017-07-04 3:00	굳건이	181818	2C8AO108	남대문	1321asdfa	fewfwf	fsdjdjdn"
"2017-07-04 8:00	굳건이	181818	2C8AO109	남대문	1322asdfa	fewfwf	fsdjdjdn"
"2017-07-04 13:00	굳건이	181818	2C8AO110	남대문	1323asdfa	fewfwf	fsdjdjdn"
"2017-07-04 18:00	굳건이	181818	2C8AO111	남대문	1324asdfa	fewfwf	fsdjdjdn"
"2017-07-04 23:00	굳건이	181818	2C8AO112	남대문	1325asdfa	fewfwf	fsdjdjdn"
